audit_id,priority_score,priority_flags,query_id,standardized_query,normalized_query,representative_description,expected_hts_number,acceptable_hts_numbers,expected_chapter,ambiguity,contributing_standardized_rows,max_noise_score,live_status,live_latency_ms,live_top1_hts_number,live_top1_description,live_top10_hts_numbers,live_exact_top1,live_exact_top10,expected_hts_description,expected_hts_path,audit_status,audited_hts_number,audited_description,reviewer_notes
audit-cc-01819,155,multi_label|multi_source|short_query|high_value_chapter_62|top1_mismatch|top10_miss,cc-01819,women cotton skirt,women cotton skirt,women cotton skirt,6204.52.10.00,6204.52.10.00|6204.62.15.56,62,multi_label,2,0,201,236,6204.52.20.10,Women's (342),6204.52.20.10|6204.52.20.70|6204.52.20.30|6104.22.00.30|6104.19.60.20|6104.42.00.10|6204.22.30.30|6204.12.00.20|6204.32.20.10|6204.32.20.30,,,Certified hand-loomed and folklore products (342),"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear): > Of cotton: > Certified hand-loomed and folklore products (342)",PENDING,,,
audit-cc-01836,155,multi_label|multi_source|short_query|high_value_chapter_61|top1_mismatch|top10_miss,cc-01836,women s dress,women s dress,Women-s dress,6104.42.00.10,6104.42.00.10|6108.91.00.30,61,multi_label,2,0,201,283,6204.31.10.10,Women's (435),6204.31.10.10|6204.31.20.10|6204.41.20.10|6104.43.10.10|6104.62.20.30|6104.53.20.10|6204.13.20.10|6204.39.20.10|6204.32.20.30|6204.32.20.10,,,Women's (336),"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted: > Of cotton > Women's (336)",PENDING,,,
audit-cc-00795,155,multi_label|multi_source|short_query|high_value_chapter_62|top1_mismatch|top10_miss,cc-00795,hockey pants,hockey pants,hockey pants,6203.43.75.10,6203.43.75.10|9506.99.25.80,62,multi_label,2,0,201,365,6216.00.05.00,Ice hockey gloves and field hockey gloves,6216.00.05.00|6216.00.43.00|6216.00.33.00|6116.10.05.00|6116.92.05.00|6116.99.20.00|4203.21.70.00|9506.99.25.40|4203.21.55.00|4203.21.60.00,,,Ski/snowboard pants (647),"Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear): > Of synthetic fibers: > Water resistant trousers or breeches (647) > Ski/snowboard pants (647)",PENDING,,,
audit-cc-00911,155,multi_label|multi_source|short_query|high_value_chapter_42|top1_mismatch|top10_miss,cc-00911,leather gloves,leather gloves,leather gloves,4203.29.30.10,4203.29.30.10|4203.29.30.20,42,multi_label,2,0,201,252,4203.21.55.00,"Cross-country ski gloves, mittens and mitts",4203.21.55.00|4203.21.80.30|4203.21.20.00|4203.21.70.00|4205.00.40.00|4205.00.10.00,,,Not lined,"Articles of apparel and clothing accessories, of leather or of composition leather: > Other: > Men's > Not lined",PENDING,,,
audit-cc-00329,155,multi_label|multi_source|short_query|high_value_chapter_61|top1_mismatch|top10_miss,cc-00329,cotton pants,cotton pants,100% Cotton Pants,6103.42.10.20,6103.42.10.20|6204.62.15.11,61,multi_label,2,0,201,245,6203.22.30.20,Trousers and breeches (347),6203.22.30.20|6203.42.07.06|6203.42.45.06|6107.21.00.10|6103.10.60.15|6108.19.90.10|5207.10.00.00|6307.90.89.40|6307.90.89.45|6307.90.89.85,,,Men's (347),"Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted: > Of cotton: > Trousers, breeches and shorts > Men's (347)",PENDING,,,
audit-cc-01180,155,multi_label|many_contributors|short_query|top1_mismatch|top10_miss,cc-01180,paper card,paper card,paper card,4802.57.10.40,4802.57.10.40|4823.90.67.00|4911.99.60.00,48,multi_label,3,0,201,354,4810.92.30.00,"Cards, not punched, for punch card machines, whether or not in strips",4810.92.30.00|4810.99.30.00|4802.20.10.00|4707.10.00.00|9504.90.60.00|4802.20.20.00|4802.54.50.00|4802.56.60.00|4802.55.60.00|4802.58.50.00,,,With one side equal to 965 mm and the other side equal to 635 mm in the unfolded state,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; hand-made paper and paperboard: > Other, weighing 40 g/m² or more but not more than 150 g/m²: > Writing and cover paper > With one side equal to 965 mm and the other side equal to 635 mm in the unfolded state",PENDING,,,
audit-cc-00921,155,multi_label|multi_source|short_query|high_value_chapter_64|top1_mismatch|top10_miss,cc-00921,leather shoes,leather shoes,Leather Shoes,6403.59.90.61,6403.59.90.61|6404.20.60.40,64,multi_label,2,0,201,381,6404.11.20.30,For men,6404.11.20.30|6404.11.20.60|6404.11.90.10|4115.20.00.00|4205.00.20.00|4115.10.00.00|4107.19.60.50|4205.00.60.00|6404.11.90.40|6404.11.90.70,,,Other,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather: > Other: > For other persons > Other",PENDING,,,
audit-cc-01865,155,multi_label|multi_source|short_query|high_value_chapter_62|top1_mismatch|top10_miss,cc-01865,women's shirt,women's shirt,Women's Shirt,6204.43.40.30,6204.43.40.30|6206.30.30.61,62,multi_label,2,0,201,381,6206.20.20.10,Women's (440),6206.20.20.10|6206.20.30.10|6206.30.30.11|6109.10.00.40|6106.20.20.10|6106.20.10.10|4203.10.40.60|4203.10.40.95|6206.40.30.10|6206.40.25.10,,,Women's (636),"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear): > Of synthetic fibers: > Other > Women's (636)",PENDING,,,
audit-cc-00914,155,multi_label|multi_source|short_query|high_value_chapter_42|top1_mismatch|top10_miss,cc-00914,leather jacket,leather jacket,leather jacket,4203.10.40.30,4203.10.40.30|4203.10.40.60,42,multi_label,2,0,201,427,6211.32.50.75,Jackets and jacket-type garments excluded from heading 6201 (334),6211.32.50.75|6211.33.50.58|6211.42.05.75|6211.43.05.78,,,Men's and boys',"Articles of apparel and clothing accessories, of leather or of composition leather: > Articles of apparel: > Other > Men's and boys'",PENDING,,,
audit-cc-00311,155,multi_label|many_contributors|short_query|top1_mismatch|top10_miss,cc-00311,cotton fabric,cotton fabric,cotton Fabric,5208.11.40.60,5208.11.40.60|5209.39.00.80|5209.39.00.90|5212.15.60.40,52,multi_label,4,0,201,638,5208.59.20.85,Discharge printed (317),5208.59.20.85|5208.59.20.15|5208.19.60.20|5208.49.60.10|5208.59.60.20|5208.29.60.20|5208.39.60.20|5208.59.40.20|5208.19.40.20|5208.59.20.25,,,Printcloth (315),"Woven fabrics of cotton, containing 85 percent or more by weight of cotton, weighing not more than 200 g/m²: > Plain weave, weighing not more than 100 g/m²: > Of numbers 43 to 68 > Printcloth (315)",PENDING,,,
audit-cc-01667,155,multi_label|many_contributors|short_query|top1_mismatch|top10_miss,cc-01667,units cotton fabric,units cotton fabric,units cotton fabric,5208.42.30.00,5208.42.30.00|5208.52.30.35|5208.52.50.20,52,multi_label,3,0,201,379,5208.19.60.20,Oxford cloth (227),5208.19.60.20|5208.59.60.20|5208.49.60.10|5806.10.10.00|5806.10.24.00|8471.60.70.00|5802.30.00.30|8471.50.01.10|8471.70.10.00|5111.11.20.00,,,Of number 42 or lower number (218),"Woven fabrics of cotton, containing 85 percent or more by weight of cotton, weighing not more than 200 g/m²: > Plain weave, weighing more than 100 g/m²: > Of number 42 or lower number (218)",PENDING,,,
audit-cc-01034,155,multi_label|multi_source|short_query|high_value_chapter_61|top1_mismatch|top10_miss,cc-01034,mens bamboo socks,mens bamboo socks,Mens Bamboo Socks,6115.94.00.00,6115.94.00.00|6115.99.90.00,61,multi_label,2,0,201,388,6115.30.10.00,Containing 70 percent or more by weight of silk or silk waste,6115.30.10.00|6115.30.90.10|4418.73.60.00|6107.22.00.10|6207.21.00.10|6207.21.00.30|6205.30.20.30|8447.11.10.00|8447.12.10.00|5908.00.00.00,,,Of wool or fine animal hair (432),"Panty hose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted: > Of wool or fine animal hair (432)",PENDING,,,
audit-cc-00346,155,multi_label|multi_source|short_query|high_value_chapter_42|top1_mismatch|top10_miss,cc-00346,cotton tote bag,cotton tote bag,cotton tote bag,4202.12.40.00,4202.12.40.00|4202.29.90.00,42,multi_label,2,0,201,377,4202.92.60.10,"Jewelry boxes, and similar containers of a kind normally sold at retail with their contents",4202.92.60.10|4202.92.33.16|4202.92.08.05|6305.20.00.00|6305.10.00.00|6305.90.00.00|4202.92.15.00|4202.92.91.00|4202.92.33.05|4202.92.33.10,,,Of cotton (369),"Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; traveling bags, insulated food or beverage bags, toiletry bags, knapsacks and backpacks, handbags, shopping bags, wallets, purses, map cases, cigarette cases, tobacco pouches, tool bags, sports bags, bottle cases, jewelry boxes, powder cases, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanized fiber or of paperboard, or wholly or mainly covered with such materials or with paper: > With outer surface of plastics or of textile materials: > Of cotton (369)",PENDING,,,
audit-cc-01197,155,multi_label|many_contributors|short_query|top1_mismatch|top10_miss,cc-01197,pc. cotton fabric,pc. cotton fabric,pc. cotton fabric,5208.42.30.00,5208.42.30.00|5208.52.50.20|5211.51.00.20,52,multi_label,3,0,201,346,5208.59.20.85,Discharge printed (317),5208.59.20.85|5208.59.20.15|5208.49.60.10|5806.10.10.00|5806.10.24.00|5802.30.00.30|5111.11.20.00|5111.19.10.00|5111.20.05.00|2710.91.00.50,,,Of number 42 or lower number (218),"Woven fabrics of cotton, containing 85 percent or more by weight of cotton, weighing not more than 200 g/m²: > Plain weave, weighing more than 100 g/m²: > Of number 42 or lower number (218)",PENDING,,,
audit-cc-01830,155,multi_label|multi_source|short_query|high_value_chapter_62|top1_mismatch|top10_miss,cc-01830,women polyster dress,women polyster dress,WOMEN POLYSTER DRESS,6204.43.10.00,6204.43.10.00|6204.43.40.30,62,multi_label,2,0,201,454,6204.13.20.10,Women's (644),6204.13.20.10|6204.31.10.10|6204.33.50.10|6104.19.60.20|6108.22.90.20|6104.19.80.20|6204.12.00.20|6204.19.80.20|6204.21.00.30|6204.22.30.30,,,Certified hand-loomed and folklore products (636),"Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear): > Of synthetic fibers: > Certified hand-loomed and folklore products (636)",PENDING,,,
